Date Index Open High Low Close "Adj Close" Quantity SMA_10 SMA_20
1979-06-29 GSPTSE 1614.699951 1619.800049 1614.699951 1618.400024 1614.290039 0.0 136.9330017 135.83350065
1979-07-03 GSPTSE 1613.599976 1613.599976 1601.699951 1602.800049 1598.729858 0.0 137.1490006 136.2880005
1979-07-04 GSPTSE 1601.5 1601.5 1589.5 1591.400024 1587.358765 0.0  
1979-07-05 GSPTSE 1590.0 1590.0 1582.5 1583.900024 1579.877686 0.0 137.2830002 136.4965004
1979-07-06 GSPTSE 1583.900024 1586.599976 1578.300049 1586.599976 1582.570923 0.0 137.4759994 136.7010002
1979-07-09 GSPTSE 1586.599976 1588.5 1585.5 1586.300049 1582.271606 0.0 137.6669983 136.91049955
1979-07-10 GSPTSE 1584.900024 1584.900024 1579.0 1580.199951 1576.187012 0.0 137.8749985 137.10699995
1979-07-11 GSPTSE 1576.800049 1576.800049 1560.900024 1563.199951 1559.230347 0.0 138.1069992 137.25350035
1979-07-12 GSPTSE 1561.5 1561.5 1533.199951 1533.699951 1529.805176 0.0 138.2349991 137.38700025
1979-07-13 GSPTSE 1533.699951 1538.099976 1520.599976 1537.400024 1533.49585 0.0 138.27899929999998 137.51200025
1979-07-16 GSPTSE 1539.800049 1551.699951 1539.800049 1551.599976 1547.659668 0.0 138.35499869999998 137.6440002
1979-07-17 GSPTSE 1554.599976 1563.099976 1554.599976 1560.900024 1556.936157 0.0 138.4379989 137.74449995
1979-07-18 GSPTSE 1557.099976 1557.099976 1547.300049 1550.800049 1546.861816 0.0 138.46099850000002 137.80499955
1979-07-19 GSPTSE 1550.800049 1554.300049 1548.300049 1552.400024 1548.457886 0.0 138.4389999 137.86100005
1979-07-20 GSPTSE 1552.400024 1557.5 1550.599976 1557.5 1553.5448 0.0 138.3729996 137.9244995
1979-07-23 GSPTSE 1553.099976 1553.099976 1544.400024 1546.0 1542.073975 0.0 138.2150009 137.9409996
1979-07-24 GSPTSE 1546.0 1549.5 1545.400024 1547.099976 1543.171143 0.0 138.1200012 137.99749985
1979-07-25 GSPTSE 1548.400024 1557.199951 1548.400024 1556.800049 1552.846558 0.0 138.1320007 138.11949995
1979-07-26 GSPTSE 1557.400024 1570.0 1557.400024 1570.0 1566.013062 0.0 138.21600180000002 138.22550045
1979-07-27 GSPTSE 1572.199951 1578.0 1572.199951 1578.0 1573.992798 0.0 138.3660018 138.32250055
1979-07-30 GSPTSE 1575.699951 1575.699951 1568.099976 1568.099976 1564.117798 0.0 138.53100120000002 138.44299995
1979-07-31 GSPTSE 1564.599976 1564.599976 1558.099976 1558.099976 1554.143066 0.0 138.8780013 138.6580001
1979-08-01 GSPTSE 1558.099976 1558.5 1554.0 1558.099976 1554.143066 0.0 139.3420012 138.90149985
1979-08-02 GSPTSE 1560.300049 1563.900024 1560.300049 1560.900024 1556.936157 0.0 139.83899979999998 139.13899984999998
1979-08-03 GSPTSE 1560.900024 1561.5 1556.800049 1557.800049 1553.844116 0.0 140.30400070000002 139.33850015
1979-08-07 GSPTSE 1557.800049 1559.5 1555.199951 1555.900024 1551.948853 0.0 141.31600029999998 139.71800075
1979-08-08 GSPTSE 1555.900024 1567.099976 1553.099976 1565.199951 1561.225098 0.0 141.825 139.97850035000002
1979-08-09 GSPTSE 1565.199951 1571.400024 1564.5 1566.5 1562.521851 0.0 142.3 140.2580009
1979-08-10 GSPTSE 1567.900024 1576.0 1567.900024 1575.0 1571.000244 0.0 142.80500030000002 140.58550105
1979-08-13 GSPTSE 1575.5 1582.099976 1575.5 1582.099976 1578.082275 0.0 143.3580017 140.94450145000002
1979-08-14 GSPTSE 1582.099976 1584.699951 1578.699951 1584.300049 1580.276733 0.0 143.85500180000003 141.36650155
1979-08-15 GSPTSE 1587.099976 1600.699951 1587.099976 1600.699951 1596.635132 0.0 144.3790023 141.86050175
1979-08-16 GSPTSE 1605.699951 1611.099976 1605.699951 1606.900024 1602.819336 0.0 144.8690032 142.3540015
1979-08-17 GSPTSE 1608.300049 1620.199951 1608.300049 1619.199951 1615.088013 0.0 145.39000230000002 142.84700149999998
1979-08-20 GSPTSE 1623.699951 1640.699951 1623.699951 1640.699951 1636.533447 0.0 145.9440016 143.366001
1979-08-21 GSPTSE 1645.900024 1657.699951 1645.900024 1657.300049 1653.091431 0.0 146.41300180000002 143.86450105
1979-08-22 GSPTSE 1660.300049 1666.0 1660.300049 1665.199951 1660.971313 0.0 146.8810025 144.35300124999998
1979-08-23 GSPTSE 1665.199951 1669.699951 1661.300049 1662.0 1657.779541 0.0 147.3670026 144.8335013
1979-08-24 GSPTSE 1662.0 1669.699951 1655.900024 1669.699951 1665.459839 0.0 147.80000130000002 145.30250080000002
1979-08-27 GSPTSE 1670.0 1681.300049 1670.0 1678.699951 1674.43689 0.0 148.1440001 145.7510009
1979-08-28 GSPTSE 1678.699951 1679.099976 1674.5 1678.900024 1674.636475 0.0 148.4679991 146.16150045
1979-08-29 GSPTSE 1678.900024 1682.099976 1677.300049 1678.5 1674.237549 0.0 148.75799849999999 146.5685004
1979-08-30 GSPTSE 1678.5 1680.0 1676.099976 1679.699951 1675.434326 0.0 149.0199981 146.94450065
1979-08-31 GSPTSE 1682.599976 1695.300049 1682.599976 1695.300049 1690.994873 0.0 149.2799987 147.33500050000004
1979-09-04 GSPTSE 1695.300049 1697.900024 1689.400024 1689.400024 1685.109863 0.0 149.3339995 147.63900055
1979-09-05 GSPTSE 1681.0 1681.0 1659.400024 1661.800049 1657.579956 0.0 149.1379989 147.77550035000002
1979-09-06 GSPTSE 1667.099976 1696.900024 1667.099976 1694.400024 1690.097168 0.0 148.9509979 147.9160002
1979-09-07 GSPTSE 1697.099976 1725.300049 1697.099976 1725.300049 1720.918701 0.0 148.8449981 148.10600035
1979-09-10 GSPTSE 1725.0 1725.0 1718.599976 1720.900024 1716.529907 0.0 148.7959991 148.2980002
1979-09-11 GSPTSE 1720.900024 1726.699951 1715.0 1715.699951 1711.343018 0.0 148.6839995 148.4139998
